% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1025	1	1	1	2	1	22	2769	0	1	1	0
1025	1	1	1	2	1	22	2769	0	1	1	0
1026	1	1	1	2	0	22	2769	0	1	1	0
1026	1	1	1	2	0	22	2769	0	1	1	0
1026	1	1	1	2	0	22	2769	0	1	1	0
1026	1	1	1	2	1	22	2769	0	1	1	0
1026	1	1	1	2	1	22	2769	0	1	1	0
1026	1	1	1	2	1	22	2769	0	1	1	0
1027	1	1	1	2	0	22	2769	0	1	1	0
1027	1	1	1	2	0	22	2769	0	1	1	0
1027	1	1	1	2	0	22	2769	0	1	1	0
1027	1	1	1	2	1	22	2769	0	1	1	0
1027	1	1	1	2	1	22	2769	0	1	1	0
1027	1	1	1	2	1	22	2769	0	1	1	0
1028	1	1	1	2	0	22	2769	0	1	1	0
1028	1	1	1	2	0	22	2769	0	1	1	0
1028	1	1	1	2	0	22	2769	0	1	1	0
1028	1	1	1	2	1	22	2769	0	1	1	0
1028	1	1	1	2	1	22	2769	0	1	1	0
1028	1	1	1	2	1	22	2769	0	1	1	0
1029	1	1	1	2	0	22	2769	0	1	1	0
1029	1	1	1	2	0	22	2769	0	1	1	0
1029	1	1	1	2	0	22	2769	0	1	1	0
1029	1	1	1	2	1	22	2769	0	1	1	0
1029	1	1	1	2	1	22	2769	0	1	1	0
1029	1	1	1	2	1	22	2769	0	1	1	0
1030	1	1	1	2	0	22	2769	0	1	1	0
1030	1	1	1	2	0	22	2769	0	1	1	0
1030	1	1	1	2	0	22	2769	0	1	1	0
1030	1	1	1	2	1	22	2769	0	1	1	0
1030	1	1	1	2	1	22	2769	0	1	1	0
1030	1	1	1	2	1	22	2769	0	1	1	0
1031	1	1	1	2	0	22	2769	0	1	1	0
1031	1	1	1	2	0	22	2769	0	1	1	0
1031	1	1	1	2	0	22	2769	0	1	1	0
1031	1	1	1	2	1	22	2769	0	1	1	0
1031	1	1	1	2	1	22	2769	0	1	1	0
1031	1	1	1	2	1	22	2769	0	1	1	0
1032	1	1	1	2	0	22	2769	0	1	1	0
1032	1	1	1	2	0	22	2769	0	1	1	0
1032	1	1	1	2	0	22	2769	0	1	1	0
1032	1	1	1	2	1	22	2769	0	1	1	0
1032	1	1	1	2	1	22	2769	0	1	1	0
1032	1	1	1	2	1	22	2769	0	1	1	0
1033	1	1	1	2	0	22	2769	0	1	1	0
1033	1	1	1	2	0	22	2769	0	1	1	0
1033	1	1	1	2	0	22	2769	0	1	1	0
1033	1	1	1	2	1	22	2769	0	1	1	0
1033	1	1	1	2	1	22	2769	0	1	1	0
1033	1	1	1	2	1	22	2769	0	1	1	0
1034	1	1	1	2	0	22	2769	0	1	1	0
1034	1	1	1	2	0	22	2769	0	1	1	0
1034	1	1	1	2	0	22	2769	0	1	1	0
1034	1	1	1	2	1	22	2769	0	1	1	0
1034	1	1	1	2	1	22	2769	0	1	1	0
1034	1	1	1	2	1	22	2769	0	1	1	0
1035	1	1	1	2	0	22	2769	0	1	1	0
1035	1	1	1	2	0	22	2769	0	1	1	0
1035	1	1	1	2	0	22	2769	0	1	1	0
1035	1	1	1	2	1	22	2769	0	1	1	0
1035	1	1	1	2	1	22	2769	0	1	1	0
1035	1	1	1	2	1	22	2769	0	1	1	0
1036	1	1	1	2	0	22	2769	0	1	1	0
1036	1	1	1	2	0	22	2769	0	1	1	0
1036	1	1	1	2	0	22	2769	0	1	1	0
1036	1	1	1	2	1	22	2769	0	1	1	0
1036	1	1	1	2	1	22	2769	0	1	1	0
1036	1	1	1	2	1	22	2769	0	1	1	0
1037	1	1	1	2	0	22	2769	0	1	1	0
1037	1	1	1	2	0	22	2769	0	1	1	0
1037	1	1	1	2	0	22	2769	0	1	1	0
1037	1	1	1	2	1	22	2769	0	1	1	0
1037	1	1	1	2	1	22	2769	0	1	1	0
1037	1	1	1	2	1	22	2769	0	1	1	0
1038	1	1	1	2	0	22	2769	0	1	1	0
1038	1	1	1	2	0	22	2769	0	1	1	0
1038	1	1	1	2	0	22	2769	0	1	1	0
1038	1	1	1	2	1	22	2769	0	1	1	0
1038	1	1	1	2	1	22	2769	0	1	1	0
1038	1	1	1	2	1	22	2769	0	1	1	0
1039	1	1	1	2	0	22	2769	0	1	1	0
1039	1	1	1	2	0	22	2769	0	1	1	0
1039	1	1	1	2	0	22	2769	0	1	1	0
1039	1	1	1	2	1	22	2769	0	1	1	0
1039	1	1	1	2	1	22	2769	0	1	1	0
1039	1	1	1	2	1	22	2769	0	1	1	0
1040	1	1	1	2	0	22	2769	0	1	1	0
1040	1	1	1	2	0	22	2769	0	1	1	0
1040	1	1	1	2	0	22	2769	0	1	1	0
1040	1	1	1	2	1	22	2769	0	1	1	0
1040	1	1	1	2	1	22	2769	0	1	1	0
1040	1	1	1	2	1	22	2769	0	1	1	0
1041	1	1	1	2	0	22	2769	0	1	1	0
1041	1	1	1	2	0	22	2769	0	1	1	0
1041	1	1	1	2	0	22	2769	0	1	1	0
1041	1	1	1	2	1	22	2769	0	1	1	0
1041	1	1	1	2	1	22	2769	0	1	1	0
1041	1	1	1	2	1	22	2769	0	1	1	0
1042	1	1	1	2	0	22	2769	0	1	1	0
1042	1	1	1	2	0	22	2769	0	1	1	0
1042	1	1	1	2	0	22	2769	0	1	1	0
1042	1	1	1	2	1	22	2769	0	1	1	0
1042	1	1	1	2	1	22	2769	0	1	1	0
1042	1	1	1	2	1	22	2769	0	1	1	0
1043	1	1	1	2	0	22	2769	0	1	1	0
1043	1	1	1	2	0	22	2769	0	1	1	0
1043	1	1	1	2	0	22	2769	0	1	1	0
1043	1	1	1	2	1	22	2769	0	1	1	0
1043	1	1	1	2	1	22	2769	0	1	1	0
1043	1	1	1	2	1	22	2769	0	1	1	0
1044	1	1	1	2	0	22	2769	0	1	1	0
1044	1	1	1	2	0	22	2769	0	1	1	0
1044	1	1	1	2	0	22	2769	0	1	1	0
1044	1	1	1	2	1	22	2769	0	1	1	0
1044	1	1	1	2	1	22	2769	0	1	1	0
1044	1	1	1	2	1	22	2769	0	1	1	0
1045	1	1	1	2	0	22	2769	0	1	1	0
1045	1	1	1	2	0	22	2769	0	1	1	0
1045	1	1	1	2	0	22	2769	0	1	1	0
1045	1	1	1	2	1	22	2769	0	1	1	0
1045	1	1	1	2	1	22	2769	0	1	1	0
1045	1	1	1	2	1	22	2769	0	1	1	0
1046	1	1	1	2	0	22	2769	0	1	1	0
1046	1	1	1	2	0	22	2769	0	1	1	0
1046	1	1	1	2	0	22	2769	0	1	1	0
1046	1	1	1	2	1	22	2769	0	1	1	0
1046	1	1	1	2	1	22	2769	0	1	1	0
1046	1	1	1	2	1	22	2769	0	1	1	0
1047	1	1	1	2	0	22	2769	0	1	1	0
1047	1	1	1	2	0	22	2769	0	1	1	0
1047	1	1	1	2	0	22	2769	0	1	1	0
1047	1	1	1	2	1	22	2769	0	1	1	0
1047	1	1	1	2	1	22	2769	0	1	1	0
1047	1	1	1	2	1	22	2769	0	1	1	0
1048	1	1	1	2	0	22	2769	0	1	1	0
1048	1	1	1	2	0	22	2769	0	1	1	0
1048	1	1	1	2	0	22	2769	0	1	1	0
1048	1	1	1	2	1	22	2769	0	1	1	0
1048	1	1	1	2	1	22	2769	0	1	1	0
1048	1	1	1	2	1	22	2769	0	1	1	0
1049	1	1	1	2	0	22	2769	0	1	1	0
1049	1	1	1	2	0	22	2769	0	1	1	0
1049	1	1	1	2	0	22	2769	0	1	1	0
1049	1	1	1	2	1	22	2769	0	1	1	0
1049	1	1	1	2	1	22	2769	0	1	1	0
1049	1	1	1	2	1	22	2769	0	1	1	0
1050	1	1	1	2	0	22	2769	0	1	1	0
1050	1	1	1	2	0	22	2769	0	1	1	0
1050	1	1	1	2	0	22	2769	0	1	1	0
1050	1	1	1	2	1	22	2769	0	1	1	0
1050	1	1	1	2	1	22	2769	0	1	1	0
1050	1	1	1	2	1	22	2769	0	1	1	0
1051	1	1	1	2	0	22	2769	0	1	1	0
1051	1	1	1	2	0	22	2769	0	1	1	0
1051	1	1	1	2	0	22	2769	0	1	1	0
1051	1	1	1	2	1	22	2769	0	1	1	0
1051	1	1	1	2	1	22	2769	0	1	1	0
1051	1	1	1	2	1	22	2769	0	1	1	0
1052	1	1	1	2	0	22	2769	0	1	1	0
1052	1	1	1	2	0	22	2769	0	1	1	0
1052	1	1	1	2	0	22	2769	0	1	1	0
1052	1	1	1	2	1	22	2769	0	1	1	0
1052	1	1	1	2	1	22	2769	0	1	1	0
1052	1	1	1	2	1	22	2769	0	1	1	0
1053	1	1	1	2	0	22	2769	0	1	1	0
1053	1	1	1	2	0	22	2769	0	1	1	0
1053	1	1	1	2	0	22	2769	0	1	1	0
1053	1	1	1	2	1	22	2769	0	1	1	0
1053	1	1	1	2	1	22	2769	0	1	1	0
1053	1	1	1	2	1	22	2769	0	1	1	0
1054	1	1	1	2	0	22	2769	0	1	1	0
1054	1	1	1	2	0	22	2769	0	1	1	0
1054	1	1	1	2	0	22	2769	0	1	1	0
1054	1	1	1	2	1	22	2769	0	1	1	0
1054	1	1	1	2	1	22	2769	0	1	1	0
1054	1	1	1	2	1	22	2769	0	1	1	0
1055	1	1	1	2	0	22	2769	0	1	1	0
1055	1	1	1	2	0	22	2769	0	1	1	0
1055	1	1	1	2	0	22	2769	0	1	1	0
1055	1	1	1	2	1	22	2769	0	1	1	0
1055	1	1	1	2	1	22	2769	0	1	1	0
1055	1	1	1	2	1	22	2769	0	1	1	0
1056	1	1	1	2	0	22	2769	0	1	1	0
1056	1	1	1	2	0	22	2769	0	1	1	0
1056	1	1	1	2	0	22	2769	0	1	1	0
1056	1	1	1	2	1	22	2769	0	1	1	0
1056	1	1	1	2	1	22	2769	0	1	1	0
1056	1	1	1	2	1	22	2769	0	1	1	0
1057	1	1	1	2	0	22	2769	0	1	1	0
1057	1	1	1	2	0	22	2769	0	1	1	0
1057	1	1	1	2	0	22	2769	0	1	1	0
1057	1	1	1	2	1	22	2769	0	1	1	0
1057	1	1	1	2	1	22	2769	0	1	1	0
1057	1	1	1	2	1	22	2769	0	1	1	0
1058	1	1	1	2	0	22	2769	0	1	1	0
1058	1	1	1	2	0	22	2769	0	1	1	0
1058	1	1	1	2	0	22	2769	0	1	1	0
1058	1	1	1	2	1	22	2769	0	1	1	0
1058	1	1	1	2	1	22	2769	0	1	1	0
1058	1	1	1	2	1	22	2769	0	1	1	0
1059	1	1	1	2	0	22	2769	0	1	1	0
1059	1	1	1	2	0	22	2769	0	1	1	0
1059	1	1	1	2	0	22	2769	0	1	1	0
1059	1	1	1	2	1	22	2769	0	1	1	0
1059	1	1	1	2	1	22	2769	0	1	1	0
1059	1	1	1	2	1	22	2769	0	1	1	0
1060	1	1	1	2	0	22	2769	0	1	1	0
1060	1	1	1	2	0	22	2769	0	1	1	0
1060	1	1	1	2	0	22	2769	0	1	1	0
1060	1	1	1	2	1	22	2769	0	1	1	0
1060	1	1	1	2	1	22	2769	0	1	1	0
1060	1	1	1	2	1	22	2769	0	1	1	0
1061	1	1	1	2	0	22	2769	0	1	1	0
1061	1	1	1	2	0	22	2769	0	1	1	0
1061	1	1	1	2	0	22	2769	0	1	1	0
1061	1	1	1	2	1	22	2769	0	1	1	0
1061	1	1	1	2	1	22	2769	0	1	1	0
1061	1	1	1	2	1	22	2769	0	1	1	0
1062	1	1	1	2	0	22	2769	0	1	1	0
1062	1	1	1	2	0	22	2769	0	1	1	0
1062	1	1	1	2	0	22	2769	0	1	1	0
1062	1	1	1	2	1	22	2769	0	1	1	0
1062	1	1	1	2	1	22	2769	0	1	1	0
1062	1	1	1	2	1	22	2769	0	1	1	0
1063	1	1	1	2	0	22	2769	0	1	1	0
1063	1	1	1	2	0	22	2769	0	1	1	0
1063	1	1	1	2	0	22	2769	0	1	1	0
1063	1	1	1	2	1	22	2769	0	1	1	0
1063	1	1	1	2	1	22	2769	0	1	1	0
1063	1	1	1	2	1	22	2769	0	1	1	0
1064	1	1	1	2	0	22	2769	0	1	1	0
1064	1	1	1	2	0	22	2769	0	1	1	0
1064	1	1	1	2	0	22	2769	0	1	1	0
1064	1	1	1	2	1	22	2769	0	1	1	0
1064	1	1	1	2	1	22	2769	0	1	1	0
1064	1	1	1	2	1	22	2769	0	1	1	0
1065	1	1	1	2	0	22	2769	0	1	1	0
1065	1	1	1	2	0	22	2769	0	1	1	0
1065	1	1	1	2	0	22	2769	0	1	1	0
1065	1	1	1	2	1	22	2769	0	1	1	0
1065	1	1	1	2	1	22	2769	0	1	1	0
1065	1	1	1	2	1	22	2769	0	1	1	0
1066	1	1	1	2	0	22	2769	0	1	1	0
1066	1	1	1	2	0	22	2769	0	1	1	0
1066	1	1	1	2	0	22	2769	0	1	1	0
1066	1	1	1	2	1	22	2769	0	1	1	0
1066	1	1	1	2	1	22	2769	0	1	1	0
1066	1	1	1	2	1	22	2769	0	1	1	0
1067	1	1	1	2	0	22	2769	0	1	1	0
1067	1	1	1	2	0	22	2769	0	1	1	0
1067	1	1	1	2	0	22	2769	0	1	1	0
1067	1	1	1	2	1	22	2769	0	1	1	0
1067	1	1	1	2	1	22	2769	0	1	1	0
1067	1	1	1	2	1	22	2769	0	1	1	0
1068	1	1	1	2	0	22	2769	0	1	1	0
1068	1	1	1	2	0	22	2769	0	1	1	0
1068	1	1	1	2	0	22	2769	0	1	1	0
1068	1	1	1	2	1	22	2769	0	1	1	0
1068	1	1	1	2	1	22	2769	0	1	1	0
1068	1	1	1	2	1	22	2769	0	1	1	0
1069	1	1	1	2	0	22	2769	0	1	1	0
1069	1	1	1	2	0	22	2769	0	1	1	0
1069	1	1	1	2	0	22	2769	0	1	1	0
1069	1	1	1	2	1	22	2769	0	1	1	0
1069	1	1	1	2	1	22	2769	0	1	1	0
1069	1	1	1	2	1	22	2769	0	1	1	0
1070	1	1	1	2	0	22	2769	0	1	1	0
1070	1	1	1	2	0	22	2769	0	1	1	0
1070	1	1	1	2	0	22	2769	0	1	1	0
1070	1	1	1	2	1	22	2769	0	1	1	0
1070	1	1	1	2	1	22	2769	0	1	1	0
1070	1	1	1	2	1	22	2769	0	1	1	0
1071	1	1	1	2	0	22	2769	0	1	1	0
1071	1	1	1	2	0	22	2769	0	1	1	0
1071	1	1	1	2	0	22	2769	0	1	1	0
1071	1	1	1	2	1	22	2769	0	1	1	0
1071	1	1	1	2	1	22	2769	0	1	1	0
1071	1	1	1	2	1	22	2769	0	1	1	0
1072	1	1	1	2	0	22	2769	0	1	1	0
1072	1	1	1	2	0	22	2769	0	1	1	0
1072	1	1	1	2	0	22	2769	0	1	1	0
1072	1	1	1	2	1	22	2769	0	1	1	0
1072	1	1	1	2	1	22	2769	0	1	1	0
1072	1	1	1	2	1	22	2769	0	1	1	0
1073	1	1	1	2	0	22	2769	0	1	1	0
1073	1	1	1	2	0	22	2769	0	1	1	0
1073	1	1	1	2	0	22	2769	0	1	1	0
1073	1	1	1	2	1	22	2769	0	1	1	0
1073	1	1	1	2	1	22	2769	0	1	1	0
1073	1	1	1	2	1	22	2769	0	1	1	0
1074	1	1	1	2	0	22	2769	0	1	1	0
1074	1	1	1	2	0	22	2769	0	1	1	0
1074	1	1	1	2	0	22	2769	0	1	1	0
1074	1	1	1	2	1	22	2769	0	1	1	0
1074	1	1	1	2	1	22	2769	0	1	1	0
1074	1	1	1	2	1	22	2769	0	1	1	0
1075	1	1	1	2	0	22	2769	0	1	1	0
1075	1	1	1	2	0	22	2769	0	1	1	0
1075	1	1	1	2	0	22	2769	0	1	1	0
1075	1	1	1	2	1	22	2769	0	1	1	0
1075	1	1	1	2	1	22	2769	0	1	1	0
1075	1	1	1	2	1	22	2769	0	1	1	0
1076	1	1	1	2	0	22	2769	0	1	1	0
1076	1	1	1	2	0	22	2769	0	1	1	0
1076	1	1	1	2	0	22	2769	0	1	1	0
1076	1	1	1	2	1	22	2769	0	1	1	0
1076	1	1	1	2	1	22	2769	0	1	1	0
1076	1	1	1	2	1	22	2769	0	1	1	0
1077	1	1	1	2	0	22	2769	0	1	1	0
1077	1	1	1	2	0	22	2769	0	1	1	0
1077	1	1	1	2	0	22	2769	0	1	1	0
1077	1	1	1	2	1	22	2769	0	1	1	0
1077	1	1	1	2	1	22	2769	0	1	1	0
1077	1	1	1	2	1	22	2769	0	1	1	0
1078	1	1	1	2	0	22	2769	0	1	1	0
1078	1	1	1	2	0	22	2769	0	1	1	0
1078	1	1	1	2	0	22	2769	0	1	1	0
1078	1	1	1	2	1	22	2769	0	1	1	0
1078	1	1	1	2	1	22	2769	0	1	1	0
1078	1	1	1	2	1	22	2769	0	1	1	0
1079	1	1	1	2	0	22	2769	0	1	1	0
1079	1	1	1	2	0	22	2769	0	1	1	0
1079	1	1	1	2	0	22	2769	0	1	1	0
1079	1	1	1	2	1	22	2769	0	1	1	0
1079	1	1	1	2	1	22	2769	0	1	1	0
1079	1	1	1	2	1	22	2769	0	1	1	0
1080	1	1	1	2	0	22	2769	0	1	1	0
1080	1	1	1	2	0	22	2769	0	1	1	0
1080	1	1	1	2	0	22	2769	0	1	1	0
1080	1	1	1	2	1	22	2769	0	1	1	0
1080	1	1	1	2	1	22	2769	0	1	1	0
1080	1	1	1	2	1	22	2769	0	1	1	0
1081	1	1	1	2	0	22	2769	0	1	1	0
1081	1	1	1	2	0	22	2769	0	1	1	0
1081	1	1	1	2	0	22	2769	0	1	1	0
1081	1	1	1	2	1	22	2769	0	1	1	0
1081	1	1	1	2	1	22	2769	0	1	1	0
1081	1	1	1	2	1	22	2769	0	1	1	0
1082	1	1	1	2	0	22	2769	0	1	1	0
1082	1	1	1	2	0	22	2769	0	1	1	0
1082	1	1	1	2	0	22	2769	0	1	1	0
1082	1	1	1	2	1	22	2769	0	1	1	0
1082	1	1	1	2	1	22	2769	0	1	1	0
1082	1	1	1	2	1	22	2769	0	1	1	0
1083	1	1	1	2	0	22	2769	0	1	1	0
1083	1	1	1	2	0	22	2769	0	1	1	0
1083	1	1	1	2	0	22	2769	0	1	1	0
1083	1	1	1	2	1	22	2769	0	1	1	0
1083	1	1	1	2	1	22	2769	0	1	1	0
1083	1	1	1	2	1	22	2769	0	1	1	0
1084	1	1	1	2	0	22	2769	0	1	1	0
1084	1	1	1	2	0	22	2769	0	1	1	0
1084	1	1	1	2	0	22	2769	0	1	1	0
1084	1	1	1	2	1	22	2769	0	1	1	0
1084	1	1	1	2	1	22	2769	0	1	1	0
1084	1	1	1	2	1	22	2769	0	1	1	0
1085	1	1	1	2	0	22	2769	0	1	1	0
1085	1	1	1	2	0	22	2769	0	1	1	0
1085	1	1	1	2	0	22	2769	0	1	1	0
1085	1	1	1	2	1	22	2769	0	1	1	0
1085	1	1	1	2	1	22	2769	0	1	1	0
1085	1	1	1	2	1	22	2769	0	1	1	0
1086	1	1	1	2	0	22	2769	0	1	1	0
1086	1	1	1	2	0	22	2769	0	1	1	0
1086	1	1	1	2	0	22	2769	0	1	1	0
1086	1	1	1	2	1	22	2769	0	1	1	0
1086	1	1	1	2	1	22	2769	0	1	1	0
1086	1	1	1	2	1	22	2769	0	1	1	0
1087	1	1	1	2	0	22	2769	0	1	1	0
1087	1	1	1	2	0	22	2769	0	1	1	0
1087	1	1	1	2	0	22	2769	0	1	1	0
1087	1	1	1	2	1	22	2769	0	1	1	0
1087	1	1	1	2	1	22	2769	0	1	1	0
1087	1	1	1	2	1	22	2769	0	1	1	0
1088	1	1	1	2	0	22	2769	0	1	1	0
1088	1	1	1	2	0	22	2769	0	1	1	0
1088	1	1	1	2	0	22	2769	0	1	1	0
1088	1	1	1	2	1	22	2769	0	1	1	0
1088	1	1	1	2	1	22	2769	0	1	1	0
1088	1	1	1	2	1	22	2769	0	1	1	0
1089	1	1	1	2	0	22	2769	0	1	1	0
1089	1	1	1	2	0	22	2769	0	1	1	0
1089	1	1	1	2	0	22	2769	0	1	1	0
1089	1	1	1	2	1	22	2769	0	1	1	0
1089	1	1	1	2	1	22	2769	0	1	1	0
1089	1	1	1	2	1	22	2769	0	1	1	0
1090	1	1	1	2	0	22	2769	0	1	1	0
1090	1	1	1	2	0	22	2769	0	1	1	0
1090	1	1	1	2	0	22	2769	0	1	1	0
1090	1	1	1	2	1	22	2769	0	1	1	0
1090	1	1	1	2	1	22	2769	0	1	1	0
1090	1	1	1	2	1	22	2769	0	1	1	0
1091	1	1	1	2	0	22	2769	0	1	1	0
1091	1	1	1	2	0	22	2769	0	1	1	0
1091	1	1	1	2	0	22	2769	0	1	1	0
1091	1	1	1	2	1	22	2769	0	1	1	0
1091	1	1	1	2	1	22	2769	0	1	1	0
1091	1	1	1	2	1	22	2769	0	1	1	0
1092	1	1	1	2	0	22	2769	0	1	1	0
1092	1	1	1	2	0	22	2769	0	1	1	0
1092	1	1	1	2	0	22	2769	0	1	1	0
1092	1	1	1	2	1	22	2769	0	1	1	0
1092	1	1	1	2	1	22	2769	0	1	1	0
1092	1	1	1	2	1	22	2769	0	1	1	0
1093	1	1	1	2	0	22	2769	0	1	1	0
1093	1	1	1	2	0	22	2769	0	1	1	0
1093	1	1	1	2	0	22	2769	0	1	1	0
1093	1	1	1	2	1	22	2769	0	1	1	0
1093	1	1	1	2	1	22	2769	0	1	1	0
1093	1	1	1	2	1	22	2769	0	1	1	0
1094	1	1	1	2	0	22	2769	0	1	1	0
1094	1	1	1	2	0	22	2769	0	1	1	0
1094	1	1	1	2	0	22	2769	0	1	1	0
1094	1	1	1	2	1	22	2769	0	1	1	0
1094	1	1	1	2	1	22	2769	0	1	1	0
1094	1	1	1	2	1	22	2769	0	1	1	0
1095	1	1	1	2	0	22	2769	0	1	1	0
1095	1	1	1	2	0	22	2769	0	1	1	0
1095	1	1	1	2	0	22	2769	0	1	1	0
1095	1	1	1	2	1	22	2769	0	1	1	0
1095	1	1	1	2	1	22	2769	0	1	1	0
1095	1	1	1	2	1	22	2769	0	1	1	0
1096	1	1	1	2	0	22	2769	0	1	1	0
1096	1	1	1	2	0	22	2769	0	1	1	0
1096	1	1	1	2	0	22	2769	0	1	1	0
1096	1	1	1	2	1	22	2769	0	1	1	0
1096	1	1	1	2	1	22	2769	0	1	1	0
1096	1	1	1	2	1	22	2769	0	1	1	0
1097	1	1	1	2	0	22	2769	0	1	1	0
1097	1	1	1	2	0	22	2769	0	1	1	0
1097	1	1	1	2	0	22	2769	0	1	1	0
1097	1	1	1	2	1	22	2769	0	1	1	0
1097	1	1	1	2	1	22	2769	0	1	1	0
1097	1	1	1	2	1	22	2769	0	1	1	0
1098	1	1	1	2	0	22	2769	0	1	1	0
1098	1	1	1	2	0	22	2769	0	1	1	0
1098	1	1	1	2	0	22	2769	0	1	1	0
1098	1	1	1	2	1	22	2769	0	1	1	0
1098	1	1	1	2	1	22	2769	0	1	1	0
1098	1	1	1	2	1	22	2769	0	1	1	0
1099	1	1	1	2	0	22	2769	0	1	1	0
1099	1	1	1	2	0	22	2769	0	1	1	0
1099	1	1	1	2	0	22	2769	0	1	1	0
1099	1	1	1	2	1	22	2769	0	1	1	0
1099	1	1	1	2	1	22	2769	0	1	1	0
1099	1	1	1	2	1	22	2769	0	1	1	0
1100	1	1	1	2	0	22	2769	0	1	1	0
1100	1	1	1	2	0	22	2769	0	1	1	0
1100	1	1	1	2	0	22	2769	0	1	1	0
1100	1	1	1	2	1	22	2769	0	1	1	0
1100	1	1	1	2	1	22	2769	0	1	1	0
1100	1	1	1	2	1	22	2769	0	1	1	0
1101	1	1	1	2	0	22	2769	0	1	1	0
1101	1	1	1	2	0	22	2769	0	1	1	0
1101	1	1	1	2	0	22	2769	0	1	1	0
1101	1	1	1	2	1	22	2769	0	1	1	0
1101	1	1	1	2	1	22	2769	0	1	1	0
1101	1	1	1	2	1	22	2769	0	1	1	0
1102	1	1	1	2	0	22	2769	0	1	1	0
